circuitid,name,city,country,latitude,longitude,description
34,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,"The Circuit Paul Ricard ( French pronunciation: [siʁkɥi pɔl ʁikaʁ] ) is a French motorsport race track built in 1969 at Le Castellet , Var , near Marseille , with finance from pastis magnate Paul Ricard . Ricard wanted to experience the challenge of building a racetrack. The circuit has hosted the FIA Formula One French Grand Prix intermittently from 1971 to 2022 ."
35,Korean International Circuit,Yeongam County,Korea,34.7333,126.417,"The Korea International Circuit (코리아 인터내셔널 서킷) is a 5.615 km (3.489 mi) motorsport circuit located in Yeongam , South Jeolla Province , South Korea , 400 km (250 mi) south of Seoul and near the port city of Mokpo . It was the venue for the Korean Grand Prix from 2010 to 2013 after a $264 million (250 billion won ) deal between Bernie Ecclestone and the Korean F1 promoter Korea Auto Valley Operation (KAVO – a joint venture between M-Bridge Holdings and Jeollanam-do regional government).

By 2015, having only hosted four Grand Prix events and relegated to hosting modestly attended local races, the facility has been criticized as a debacle."
36,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-22.9756,-43.395,"The Autódromo Internacional Nelson Piquet (Nelson Piquet International Racetrack), also known as Jacarepaguá after the neighbourhood in which it was located, and also as the Autódromo Riocentro , was a motorsport circuit in Rio de Janeiro , Brazil. Opened in January 1978, a few weeks before the 1978 Brazilian Grand Prix , it hosted the Formula One Brazilian Grand Prix on ten occasions, and was also used for CART , motorcycle racing and stock car racing . In 2012, it was demolished to make way for facilities to be used at the 2016 Summer Olympics ."
37,Detroit Street Circuit,Detroit,USA,42.3298,-83.0401,"The streets of Detroit , in the U.S. state of Michigan , hosted Formula One racing, and later Championship Auto Racing Teams (CART) racing, between the 1982 and 1991 seasons. The street circuit course was set up near the Renaissance Center and the Cobo Arena , also including a small part of the M-1 highway , also known as Woodward Avenue. It is a flat circuit, with elevation ranging from 577–604 ft (176–184 m) above sea level.

The circuit was reopened on June 2, 2023, for the IndyCar Detroit Grand Prix race weekend with a modified and shortened layout."
38,Brands Hatch,Kent,UK,51.3569,0.263056,"Brands Hatch is a motor racing circuit in West Kingsdown , Kent , England , United Kingdom . Originally used as a grasstrack motorcycle circuit on farmland, it hosted 12 runnings of the British Grand Prix between 1964 and 1986 and currently hosts many British and International racing events. The venue is owned and operated by Jonathan Palmer 's MotorSport Vision organisation."
39,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,"Circuit Zandvoort ( Dutch pronunciation: [sɪrˈkʋi ˈzɑntˌfoːrt] ), known for sponsorship reasons as CM.com Circuit Zandvoort , previously known as Circuit Park Zandvoort until 2017, is a 4.259 km (2.646 mi) motorsport race track located in the dunes north of Zandvoort , the Netherlands , near the North Sea coast line and 35 km (22 mi) west of Amsterdam . It returned to the Formula One calendar in 2021 as the location of the revived Dutch Grand Prix . This partnership with Formula One will end in 2026."
40,Zolder,Heusden-Zolder,Belgium,50.9894,5.25694,"The Circuit Zolder , also known as Circuit Terlamen , is an undulating 4.011 km (2.492 mi) motorsport race track in Heusden-Zolder , Belgium ."
41,Dijon-Prenois,Dijon,France,47.3625,4.89913,"Le circuit de Dijon-Prenois est un circuit français de sport mécanique situé à Prenois , près de Dijon , dans le département de la Côte-d'Or en région Bourgogne-Franche-Comté .

L'inauguration du Stade automobile de Dijon-Prenois, avec un tracé initial de 3,289 km , a eu lieu le 26 mai 1972 . En 1975 , sa longueur est portée à 3,800 km . De nombreuses courses d'endurance se disputèrent sur le circuit : les 500 et 1 000 km de Dijon, les 4 et 6 heures de Dijon, et une course du championnat du monde des voitures de sport (FIA-SCC). Antérieurement, les courses de Sports-Prototypes se déroulaient à Dijon- Longvic depuis 1969."
42,Fair Park,Dallas,USA,32.7774,-96.7587,"Fair Park is a recreational and educational complex in Dallas, Texas , United States, located immediately east of downtown . The 277- acre (112 ha ) area is registered as a Dallas Landmark and National Historic Landmark ; many of the buildings were constructed for the Texas Centennial Exposition in 1936.

Fair Park has been designated a Great Place in America by the American Planning Association ."
43,Long Beach,California,USA,33.7651,-118.189,"Long Beach is a coastal city in southeastern Los Angeles County, California , United States. It is the 44th-most populous city in the United States, with a population of 451,307 as of 2022. A charter city , Long Beach is the 7th-most populous city in California , the 2nd-most populous city in Los Angeles County, and the largest city in California that is not a county seat .

Incorporated in 1897, Long Beach lies in Southern California , in the southern part of Los Angeles County. Long Beach is approximately 20 miles (32 km) south of downtown Los Angeles , and is part of the Gateway Cities region. The Port of Long Beach is the second busiest container port in the United States and is among the world's largest shipping ports. The city is over an oilfield with minor wells both directly beneath the city as well as offshore.

The city is known for its waterfront attractions, including the permanently docked RMS Queen Mary and the Aquarium of the Pacific . Long Beach also hosts the Grand Prix of Long Beach , an IndyCar race and the Long Beach Pride Festival and Parade . California State University, Long Beach , one of the largest universities in California by enrollment, is within the city."
44,Las Vegas Street Circuit,Nevada,USA,36.1162,-115.174,"The Las Vegas Strip Circuit is a street circuit around parts of the Las Vegas Strip in Paradise, Nevada , immediately adjacent to Las Vegas, Nevada . It winds through the streets of the city and comprises the Las Vegas Strip, a section of Las Vegas Boulevard that is home to the city's major hotels and casinos. It incorporates some of the most notable landmarks of the city, including MSG Sphere , Caesars Palace , Bellagio , and Paris Las Vegas .

Designed by Carsten Tilke, the son of Formula One circuit designer Hermann Tilke , the circuit broke ground in March 2022 and opened on November 16, 2023, during the weekend of the first Las Vegas Grand Prix ."
45,Jarama,Madrid,Spain,40.6171,-3.58558,
46,Watkins Glen,New York State,USA,42.3369,-76.9272,"Watkins Glen is a village and census-designated place in and the county seat of Schuyler County , New York , United States. As of the 2020 census, the population was 1,829. Watkins Glen lies between the towns of Dix and Reading . To the southwest of the village is the Watkins Glen International race track, which hosts annual NASCAR Cup Series and WeatherTech SportsCar Championship races, and formerly hosted the Formula One United States Grand Prix and various IndyCar races.

The village was the recipient of the ten-million-dollar Downtown Revitalization Initiative (DRI) grant in July 2017 to revitalize the Mixed Use Village Center (VC). Former governor of New York Andrew M. Cuomo awarded fourteen projects in hopes that they would be catalysts for increased private investment in the village. This grant was largely secured by the work of local government officials and the Schuyler County Partnership for Economic Development (SCOPED). As of December 2023, the majority of the awarded projects have been completed."
47,Scandinavian Raceway,Anderstorp,Sweden,57.2653,13.6042,"Anderstorp Raceway , previously known as Scandinavian Raceway , is a 4.025 km (2.501 mi) motorsport race track in Anderstorp ( Gislaved Municipality ), Sweden and the sole Nordic host of a Formula One World Championship Grand Prix, when the Swedish Grand Prix was held for six years between 1973 and 1978."
48,Mosport International Raceway,Ontario,Canada,44.0481,-78.6756,"Canadian Tire Motorsport Park (formerly Mosport Park and Mosport International Raceway ) is a multi- track motorsport venue located north of Bowmanville , Ontario, Canada, approximately 75 kilometers (47 miles) east of Toronto . The facility features a 3.957 km (2.459 mi), 10-turn road course; a 2.9 km (1.8 mi) advance driver and race driver training facility with a 0.402 km (0.250 mi) skid pad (Driver Development Centre) and a 1.5 km (0.93 mi) kart track (Mosport Karting Centre Inc., previously ""Mosport Kartways""). The name ""Mosport"", a portmanteau of Motor Sport, came from the enterprise formed to build the track."
49,Montjuïc,Barcelona,Spain,41.3664,2.15167,"Montjuïc ( Catalan pronunciation: [muɲʒuˈik] ) is a hill in Barcelona , Catalonia , Spain .

Montjuïc or Montjuich, meaning ""Jewish Mountain"" in medieval Latin and Catalan, is a broad, shallow hill in Barcelona with a rich history. It was the birthplace of the city, and its strategic location, between the Mediterranean and the Llobregat River, has made it significant throughout history. The hill has a medieval Jewish cemetery, declared an area of Cultural Asset of National Interest in 2007. Montjuïc has been the site of various fortifications, including the Castle of Montjuïc dating back to the 17th century. The area was also associated with political imprisonments and executions, and held significance during the Spanish Civil War.

The hill was chosen as the site for the 1929 International Exposition , which led to the construction of several buildings, including the Palau Nacional and the Estadi Olímpic. Montjuïc was also the location for several venues during the 1992 Summer Olympics, with the Olympic stadium as the centerpiece. The hill is now home to the Museu Nacional d'Art de Catalunya and various parks and gardens , and can be accessed via the Funicular de Montjuïc and the Montjuïc Cable Car."
50,Nivelles-Baulers,Brussels,Belgium,50.6211,4.32694,"Nivelles-Baulers was a 2.314 mi (3.724 km) race track in Nivelles (in French)/ Nijvel (in Dutch) near Brussels , Belgium ."
51,Charade Circuit,Clermont-Ferrand,France,45.7472,3.03889,"The Circuit de Charade , also known as Circuit Louis Rosier and Circuit Clermont-Ferrand , is a motorsport race track in Saint-Genès-Champanelle near Clermont-Ferrand in the Puy-de-Dôme department in Auvergne in central France . The circuit, built around the base of an extinct volcano, was known for its challenging layout which favored the most skillful drivers and motorcyclists. It hosted the French Grand Prix four times and the French motorcycle Grand Prix ten times."
52,Circuit Mont-Tremblant,Quebec,Canada,46.1877,-74.6099,"Circuit Mont-Tremblant is a 4.218 km (2.621 mi) race circuit located approximately 130 km (81 mi) north of Montreal , Quebec , in the city of Mont-Tremblant , Canada . It is the second-oldest existing race track in Canada, and was originally known as Circuit Mont-Tremblant-St-Jovite until it was renamed in the 1970s. Set in the shadow of the Mont-Tremblant ski hill, the twisting fifteen-corner track uses the natural topography and elevation of the land."
53,Rouen-Les-Essarts,Rouen,France,49.3306,1.00458,"Rouen-Les-Essarts was a 5.543 km (3.444 mi) motor racing circuit in Orival , near Rouen , France .

From its opening in 1950, Rouen-Les-Essarts was recognized as one of Europe 's finest circuits, with modern pits, a wide track, and spectator grandstands. The street circuit (which ran on public roads) had a few medium straights, a cobbled hairpin turn (Nouveau Monde) at the southernmost tip, and a few blind corners through a wooded hillside The appeal was greatly enhanced by the climb from Nouveau Monde at 56 m (184 ft) to Gresil at 149 m (489 ft), with gradients over 9%.

Rouen hosted five Formula One French Grand Prix races, the last one in 1968 resulting in the tragic burning death of Jo Schlesser , at the fast downhill Six Frères curve. The circuit continued to host major Formula 2 events until 1978, after which it was used for various French Championships.

The circuit had a number of different configurations. From its construction in 1950 until 1954 it was 5.100 km (3.169 mi) in length. In 1955 major works increased the circuit's length to 6.542 km (4.065 mi), its most famous configuration. Construction of a new Autoroute across the circuit saw a new section of track built and the length of the circuit reduced to 5.543 km (3.444 mi). Finally, in 1974 a permanent chicane was built at Six Frères and this part of the circuit was renamed Des Roches.

The circuit was closed down in 1994 due to economic and safety reasons, since it is very hard to organize a race on public roads if modern safety standards are to be met. In 1999, following the circuit's closure all evidence of area's racing past was demolished, including grandstands, pits, Armco and track signs. The cobbled Nouveau Monde hairpin was also asphalted but it is still possible to drive around on the original circuit configuration.

The name ""Les Essarts"" comes from a village, which was included into the commune of Grand-Couronne in 1874."
54,Le Mans,Le Mans,France,47.95,0.224231,
55,Reims-Gueux,Reims,France,49.2542,3.93083,"The circuit Reims-Gueux was a motor racing circuit made up of rural public roads, located in Gueux , 8 km (5.0 mi) west of Reims in the Champagne region of north-eastern France, established in 1926 as the second venue of the Grand Prix de la Marne . The triangular layout of public roads formed three sectors between the villages of Thillois and Gueux over the La Garenne / Gueux intersection of Route nationale 31 . The circuit became known to be among the fastest of the era for its two long straights (approximately 2.2 km; 1¼ miles in length each) allowing maximum straight-line speed, resulting in many famous slipstream battles."
56,Prince George Circuit,Eastern Cape Province,South Africa,-33.0486,27.8736,"Prince George Circuit is a race circuit in East London in Eastern Cape Province , South Africa . On this course the South African Grand Prix was hosted in 1934, and 1936 to 1939 when racing was halted due to World War II , and then in 1960–1966."
57,Zeltweg,Styria,Austria,47.2039,14.7478,"Zeltweg ( German: [ˈt͡sɛltˌveːk] ) is a town in Styria , Austria . It is located in the Aichfeld basin of the Mur River in Upper Styria . Larger municipalities in the vicinity are Judenburg , Knittelfeld and Fohnsdorf ."
58,Aintree,Liverpool,UK,53.4769,-2.94056,"Aintree is a village and civil parish in the Metropolitan Borough of Sefton , Merseyside , England. Historically in Lancashire , it lies between Walton and Maghull on the A59 road , 6 miles (10 kilometres) northeast of Liverpool city centre . In 2011 the parish had a population of 6689.

It is best known as the site of Aintree Racecourse , which since the 19th century has staged the Grand National horserace. In the 1950s and 1960s, there was also a three-mile-long international Grand Prix motor racing circuit on the site, which used the same grandstands as the horserace. A shorter form of the racing circuit is still used for various motorsport events.

The northern terminus of the Aintree district is commonly referred to by the local populace as ""Old Roan."" This nomenclature is a colloquial moniker employed by residents and lacks formal legal recognition as a distinct geographical location."
59,Circuito da Boavista,Oporto,Portugal,41.1705,-8.67325,"Circuito da Boavista is a street circuit in Porto , Portugal , which was used twice for the Formula One Portuguese Grand Prix . The original course began at the harbor -front ""Esplanada do Rio de Janeiro"", continued on ""Avenida da Boavista"", (hence the circuit's name), and then twisted its way through small neighborhoods back to the start-finish line.

The first Grand Prix was held in 1958, and saw an act of sportsmanship by Stirling Moss . Moss came to the defense of his countryman and title rival Mike Hawthorn , who faced a penalty for having driven towards oncoming traffic after a spin. Moss persuaded the stewards not to disqualify Hawthorn, who retained his second place and 6 points. Hawthorn eventually won the drivers championship by 1 point over Moss.

The 1960 running was a race of attrition, with only four cars finishing within five laps of winner Jack Brabham . Accidents and mechanical problems ended the day early for future champions John Surtees , Phil Hill , Graham Hill and others."
60,Riverside International Raceway,California,USA,33.937,-117.273,"Riverside International Raceway (sometimes known as Riverside , RIR , or Riverside Raceway ) was a motorsports race track and road course established in the Edgemont area of Riverside County, California , just east of the city limits of Riverside and 50 mi (80 km) east of Los Angeles , in 1957. In 1984, the raceway became part of the newly incorporated city of Moreno Valley . Riverside was noted for its hot, dusty environment, which was a dangerous challenge for drivers. It was also considered one of the finest tracks in the United States. The track was in operation from September 22, 1957, to July 2, 1989, with the last race, The Budweiser 400, won by Rusty Wallace , held in 1988. After that final race, a shortened version of the circuit was kept open for car clubs and special events until 1989."
61,AVUS,Berlin,Germany,52.4806,13.2514,"The Automobil-Verkehrs- und Übungsstraße ('Automobile traffic and training road'), known as AVUS ( German pronunciation: [ˈaːvʊs] ), is a public road in Berlin , Germany . Opened in 1921, it was also used as a motor racing circuit until 1998. Today, the AVUS forms the northern part of the Bundesautobahn 115 ."
62,Monsanto Park Circuit,Lisbon,Portugal,38.7197,-9.20306,"The Circuito de Monsanto , or Monsanto Park Circuit , was a 5.440 km (3.380 mi) race track in Monsanto Forest Park , near Lisbon , Portugal which hosted the Portuguese Grand Prix .

Built on parklands , the circuit was considered difficult to drive because it crossed so many different types of surfaces, including tramlines at one point. The track hosted numerous races from 1954 to 1959, but only one race qualified as a Formula One event: the 1959 Portuguese Grand Prix , won by Stirling Moss . He won the race in the twilight hours, since the race was purposely started late in the day to avoid the intense late summer sun."
63,Sebring International Raceway,Florida,USA,27.4547,-81.3483,"Sebring International Raceway is a road course auto racing facility in the southeastern United States, located near Sebring, Florida .

Sebring Raceway is one of the oldest continuously operating race tracks in the U.S., its first race being run in 1950. Sebring is one of the classic race tracks in North American sports car racing , and plays host to the 12 Hours of Sebring .

The raceway occupies a portion of Sebring Regional Airport (an active airport for private and commercial traffic that was originally built as Hendricks Army Airfield , which was a World War II training base for the United States Army Air Forces )."
64,Ain Diab,Casablanca,Morocco,33.5786,-7.6875,"Ain Diab ( Arabic : عين الذئاب , romanized : a'ayn a-thia'āb ) is a neighborhood located at the Corniche of Casablanca , Morocco . The neighborhood is affluent and famous for the fashionable stretch of coastline known as the Corniche. There are numerous hotels, restaurants, nightclubs, and Lalla Meryem Beach and Ain Diab Beach. There is also the ribat and island of Sidi Abderrahman, which is now connected to the mainland by bridge.

Ain Diab hosted a round of the Formula One World Championship in 1958 . Amongst the notable residents is the British-born writer Tahir Shah .

The first McDonald's franchise in Africa and in the Arab world opened on Ain Diab in 1992."
65,Pescara Circuit,Pescara,Italy,42.475,14.1508,"The Pescara Circuit was a 16.032 mi (25.801 km) race course made up entirely of public roads near Pescara , Italy that hosted the Coppa Acerbo auto race. Pescara is the longest circuit to ever host a Formula One Grand Prix."
66,Circuit Bremgarten,Bern,Switzerland,46.9589,7.40194,"The Circuit Bremgarten was a 7.280 km (4.524 mi) motorsport race track in Bern , Switzerland , which formerly hosted the Swiss Grand Prix from 1933 to 1954 ( Formula One , 1947 to 1954) and the Swiss motorcycle Grand Prix in 1949 and from 1951 until 1954.

Bremgarten was built as a motorcycle racing track in 1931 in the Bremgartenwald (Bremgarten forest) in the north of Bern. The circuit itself had no true straight, instead being a collection of high-speed corners. It hosted its first automobile race in 1934 , which claimed the life of driver Hugh Hamilton . In 1948 it claimed the life of Italian racer Achille Varzi . From the outset, Bremgarten's tree-lined roads, often poor light conditions and changes in road surface made for what was acknowledged to be a very dangerous circuit, especially in the wet.

Bremgarten has not hosted an official motorsport event since 1955, when spectator racing sports, with the exception of hillclimbing and rallying , were banned in Switzerland in reaction to the 1955 Le Mans disaster . Although there was a 1982 Swiss Grand Prix , it took place in Dijon , France . On June 6, 2007 an amendment to lift the ban was passed by the lower house of the Swiss parliament, 97 in favour and 77 opposed. The legislation failed to pass the upper house , and was withdrawn in 2009 after being rejected twice."
67,Circuit de Pedralbes,Barcelona,Spain,41.3903,2.11667,"The Pedralbes Circuit ( Spanish : Circuito de Pedralbes ) was a 6.333 km (3.935 mi) street racing course in Barcelona , Catalonia , Spain .

First opened in 1946 in the western suburbs of the city, in the Pedralbes neighbourhood, the course featured wide streets and expansive, sweeping corners; both drivers and racing fans loved the course. The circuit hosted the Penya Rhin Grand Prix four times (1946, 1948, 1950 and 1954. ). The circuit also hosted the Spanish Grand Prix in 1951 and 1954 Due to stricter safety rules following the 1955 Le Mans disaster , the Pedralbes Circuit was permanently retired as a racing venue."
68,Buddh International Circuit,Uttar Pradesh,India,28.3487,77.5331,"The Buddh International Circuit is an Indian motor racing circuit situated in Jaypee Sports City , Greater Noida , Uttar Pradesh . The track shares its name with Gautama Buddha , as does the district of its location. The track was officially inaugurated on 18 October 2011.

The 5.125 km (3.185 mi) long circuit was designed by German racetrack designer Hermann Tilke . The circuit is best known as the venue for the annual Formula One Indian Grand Prix , which was first hosted in October 2011. However, the Grand Prix was suspended for 2014 and subsequently cancelled due to a tax dispute with the Government of Uttar Pradesh during the Akhilesh Yadav administration ."
69,Circuit of the Americas,Austin,USA,30.1328,-97.6411,"Circuit of the Americas ( COTA ) is a Grade 1 FIA -specification 3.426-mile (5.514 km) motor racing track and facilities located in Austin, Texas , United States. The facility is home to the Formula One United States Grand Prix , NASCAR EchoPark Automotive Grand Prix , and the Motorcycle Grand Prix of the Americas , a round in MotoGP and the FIA World Endurance Championship with the Lone Star Le Mans . It previously hosted the Australian V8 Supercars , the Americas Rallycross Championship , the American Le Mans Series , the Rolex Sports Car Series , the IMSA SportsCar Championship and the IndyCar Classic .

The circuit and Grand Prix were first proposed in the middle of 2010. The circuit was the first in the United States to be purpose-built for Formula One. The layout was conceived by promoter Tavo Hellmund and 1993 Motorcycle World Champion Kevin Schwantz with the assistance of German architect and circuit designer Hermann Tilke , who has also designed the Sepang , Shanghai , Yas Marina , Istanbul , Bahrain , Yeongam , and Buddh circuits, as well as the reprofiling of the Hockenheimring and Fuji Speedway ."
70,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,"The Red Bull Ring is a motorsport race track in Spielberg , Styria , Austria . The race circuit was founded as Österreichring (translation: Austrian Circuit) and hosted the Austrian Grand Prix for 18 consecutive years, from 1970 to 1987 . It was later shortened, rebuilt and renamed the A1-Ring (A Eins-Ring), and it hosted the Austrian Grand Prix again from 1997 to 2003 .

When Formula One outgrew the circuit, a plan was drawn up to extend the layout. Parts of the circuit, including the pits and main grandstand, were demolished, but construction work was stopped and the circuit remained unusable for several years before it was purchased by Red Bull 's Dietrich Mateschitz and rebuilt. Renamed the Red Bull Ring the track was reopened on 15 May 2011 and subsequently hosted a round of the 2011 DTM season and a round of the 2011 F2 championship . Formula One returned to the circuit in the 2014 season, and MotoGP returned to the circuit in the 2016 season. The Red Bull Ring also hosted a second F1 event named the Styrian Grand Prix in 2020 and 2021 ; and a second MotoGP event named the Styrian motorcycle Grand Prix in 2020 and 2021 after the COVID-19 pandemic affected the schedules of both of those seasons."
71,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,"The Sirius Autodrom ( Russian : Сириус Автодром , romanized : Sirius Avtodrom ), known before 2024 as Sochi Autodrom ( Russian : Сочи Автодром , romanized : Sochi Avtodrom ) and originally as the Sochi International Street Circuit and the Sochi Olympic Park Circuit , is a 5.848 km (3.634 mi) permanent race track in the settlement of Sirius next to the Black Sea resort city of Sochi in Krasnodar Krai , Russia.

The circuit runs around a former Olympic complex, the Sochi Olympic Park site, scene of the 2014 Winter Olympic Games . The TCR International Series raced at Sochi in 2015 and 2016.

The inaugural World Championship Russian Grand Prix took place in 2014 , with the circuit hosting the Grand Prix up to 2021 . The contract was terminated before the 2022 edition due to the Russian invasion of Ukraine ."
73,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,"The Baku City Circuit ( Azerbaijani : Bakı Şəhər Halqası ) is a motor racing street circuit located in Baku , Azerbaijan constructed near Baku Boulevard . A lap of the circuit is 6.003 km (3.730 mi), making it the fourth-longest circuit on the Formula One calendar (after Circuit de Spa-Francorchamps , Jeddah Street Circuit and Las Vegas Strip Circuit ). The inaugural Formula One race at the circuit was the 2016 European Grand Prix and its support events. A year later, in 2017, the circuit held the inaugural Azerbaijan Grand Prix . The event is organised by Baku City Circuit Operation Company ( Azerbaijani : Bakı Şəhər Halqası Əməliyyat Şirkəti )."
75,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267,
76,Autodromo Internazionale del Mugello,Mugello,Italy,43.9975,11.3719,"L' autodromo internazionale del Mugello , noto anche come Mugello Circuit , è un circuito automobilistico e motociclistico italiano . Si trova nel comune di Scarperia e San Piero , nella città metropolitana di Firenze , ed è di proprietà della Ferrari . Il tracciato della pista è lungo 5 245 m , e si snoda attraverso 15 curve.

Non molto distante dall'attuale impianto sorgeva il rinomato circuito stradale del Mugello , sede di gare automobilistiche disputatesi, senza soluzione di continuità, dal 1914 al 1970."
77,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,"The Jeddah Corniche Circuit ( Arabic : حلبة كورنيش جدة ) is a 6.174 km (3.836 mi) motor racing street circuit built in the Red Sea port city of Jeddah , in Saudi Arabia . The circuit staged the inaugural Saudi Arabian Grand Prix on 5 December 2021 as the penultimate race on the 2021 Formula One season calendar."
78,Losail International Circuit,Al Daayen,Qatar,25.49,51.4542,"The Lusail International Circuit ( Arabic : حلبة لوسيل الدولية , sometimes rendered Losail International Circuit ) is a motor racing circuit located just outside the city of Lusail , north of Doha , Qatar . The track is 5.419 km (3.367 mi) in length, with a main straight of 1.068 km (0.664 mi). It is surrounded by artificial grass intended to stop the sand encroaching on the track."
79,Miami International Autodrome,Miami,USA,25.9581,-80.2389,"The Miami International Autodrome is a purpose-built temporary circuit around Hard Rock Stadium and its private facilities in the Miami suburb of Miami Gardens, Florida, United States . The track is 3.363 mi (5.412 km) long and features 19 corners with an average in a Formula One car of around 139 mph (224 km/h) in qualifying. The track was designed by Formula One track designers, Apex Circuit Design, for the Miami Grand Prix , which was added to the Formula One calendar for the 2022 World Championship ."
